count_badged,slug,attendance,country,month,year,day
11,2016-10-27-ttt-online,20,W3,10,2016,27
3,2016-11-03-ttt-cuny,12,US,11,2016,03
5,2016-11-07-ttt-online,10,W3,11,2016,07
5,2016-11-15-ttt-online,15,W3,11,2016,15
3,2016-11-24-ttt-metoffice,17,GB,11,2016,24
2,2016-11-29-ttt-nesi,10,NZ,11,2016,29
4,2016-12-01-PNNL-ttt,14,US,12,2016,01
2,2016-12-12-ttt-uiuc,12,US,12,2016,12
6,2016-12-13-ttt-ucsf,18,US,12,2016,13
3,2016-12-14-ttt-online,11,NZ,12,2016,14
6,2016-12-15-ttt-online,16,W3,12,2016,15
10,2017-01-11-ttt-online,23,CA,01,2017,11
8,2017-01-19-ttt-ecp,20,US,01,2017,19
14,2017-01-25-ttt-nz-otago,28,NZ,01,2017,25
7,2017-02-09-ttt-usu,11,US,02,2017,09
8,2017-02-21-online-instructor-training,14,W3,02,2017,21
7,2017-03-07-ttt-online,13,W3,03,2017,07
13,2017-03-16-ttt-oxford,24,GB,03,2017,16
2,2017-03-24-ttt-upr,12,PR,03,2017,24
7,2017-04-10-uw-ttt,15,US,04,2017,10
11,2017-04-24-ttt-VT_NIST,12,W3,04,2017,24
16,2017-04-30-eResearchAfrica-ttt,28,ZA,04,2017,30
17,2017-05-04-portland-ttt,28,US,05,2017,04
8,2017-05-04-ttt-frb,16,US,05,2017,04
13,2017-05-18-stanford-TTT,13,US,05,2017,18
10,2017-05-22-florida-TTT,22,US,05,2017,22
11,2017-06-19-sydney-ttt,18,AU,06,2017,19
12,2017-06-19-ttt-davis,13,US,06,2017,19
4,2017-06-26-ttt-online,6,W3,06,2017,26
15,2017-07-10-ttt-online,21,W3,07,2017,10
5,2017-07-13-jaxlab-instructor-training,7,W3,07,2017,13
7,2017-07-13-ttt-online,16,W3,07,2017,13
5,2017-07-25-tucson-ttt,9,US,07,2017,25
12,2017-07-27-qcif,23,AU,07,2017,27
15,2017-07-31-ttt-online,27,W3,07,2017,31
22,2017-08-07-jackson-ttt,34,W3,08,2017,07
6,2017-08-14-UCB-ttt,11,US,08,2017,14
9,2017-08-16-ttt-online,21,W3,08,2017,16
13,2017-09-04-ttt-manchester,22,GB,09,2017,04
10,2017-09-21-ttt-online,26,W3,09,2017,21
8,2017-09-25-TTT-online,17,W3,09,2017,25
5,2017-09-28-curtin,16,AU,09,2017,28
7,2017-10-09-NWU-eResearch-ttt,34,ZA,10,2017,09
5,2017-10-10-ttt-doe,24,W3,10,2017,10
6,2017-10-16-Monsanto-ttt,7,US,10,2017,16
3,2017-10-19-ucsf-ttt,5,W3,10,2017,19
11,2017-10-24-ttt-online,19,W3,10,2017,24
10,2017-10-24-ttt-online-USA,23,W3,10,2017,24
7,2017-10-30-TTT-online,12,W3,10,2017,30
12,2017-10-30-imperial-ttt,19,GB,10,2017,30
9,2017-11-02-TTT-online,25,W3,11,2017,02
6,2017-11-06-ttt-Utrecht,16,NL,11,2017,07
8,2017-11-14-ttt-online,12,W3,11,2017,14
7,2017-11-15-ttt-stanford,14,US,11,2017,15
3,2017-12-04-ttt,8,W3,12,2017,04
8,2017-12-05-ttt-southampton,18,GB,12,2017,05
12,2017-12-12-ttt-online,17,W3,12,2017,12
3,2017-12-14-ttt-uiuc,10,US,12,2017,14
14,2018-01-30-ttt-USA,19,W3,01,2018,30
8,2018-01-30-ttt-online-UK,14,W3,01,2018,30
5,2018-02-05-ttt-online,24,W3,02,2018,05
5,2018-02-13-ttt-online,15,W3,02,2018,13
9,2018-02-21-South-Africa-ttt,17,ZA,02,2018,21
1,2018-02-26-ttt-stanford,12,US,02,2018,26
3,2018-02-28-ttt-online,16,W3,02,2018,28
3,2018-03-01-ttt-online,18,W3,03,2018,01
5,2018-03-05-ttt-florida,20,US,03,2018,05
1,2018-03-19-ttt-sfu,10,CA,03,2018,19
3,2018-03-20-ttt-online,11,W3,03,2018,20
1,2018-04-09-ttt-qcif,14,AU,04,2018,09
